sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
1.663203840E+2,9.219856053E+0,1.255080917E+2,6.961733250E+0,

Count Trace ChA [kHz],Count Trace ChB [kHz]
1.560401917E+2,1.202774048E+2
1.607131958E+2,1.223182678E+2
1.611518860E+2,1.203536987E+2
1.603507996E+2,1.153182983E+2
1.573181152E+2,1.181030273E+2
1.536560059E+2,1.175308228E+2
1.550865173E+2,1.153945923E+2
1.556205750E+2,1.169204712E+2
1.597785950E+2,1.209259033E+2
1.705360413E+2,1.315307617E+2
1.656532288E+2,1.241493225E+2
1.550292969E+2,1.199913025E+2
1.743316650E+2,1.328468323E+2
1.566505432E+2,1.210021973E+2
1.635932922E+2,1.237869263E+2
1.590919495E+2,1.180267334E+2
1.825332642E+2,1.381111145E+2
1.727485657E+2,1.319122314E+2
1.752090454E+2,1.336288452E+2
1.623725891E+2,1.219558716E+2
1.596260071E+2,1.194763184E+2
1.810073853E+2,1.358985901E+2
1.747322083E+2,1.277351379E+2
1.864433289E+2,1.389122009E+2
1.583862305E+2,1.180458069E+2
1.644134521E+2,1.260375977E+2
1.796531677E+2,1.342010498E+2
1.683044434E+2,1.255226135E+2
1.792335510E+2,1.347160339E+2
1.705741882E+2,1.287078857E+2
1.771926880E+2,1.339912415E+2
1.731872559E+2,1.304817200E+2
1.741981506E+2,1.306533813E+2
1.758193970E+2,1.335906982E+2
1.634788513E+2,1.235771179E+2
1.679801941E+2,1.306724548E+2
1.672935486E+2,1.278114319E+2
1.793861389E+2,1.395797729E+2
1.557540894E+2,1.186370850E+2
1.634597778E+2,1.258277893E+2
1.707267761E+2,1.269721985E+2
1.674652100E+2,1.263809204E+2
1.662445068E+2,1.298713684E+2
1.657485962E+2,1.243782043E+2
1.656341553E+2,1.229476929E+2
1.616477966E+2,1.188278198E+2
1.648712158E+2,1.254081726E+2
1.632308960E+2,1.249504089E+2
1.607894897E+2,1.213836670E+2
1.600837708E+2,1.205062866E+2
1.707267761E+2,1.292610168E+2
1.642036438E+2,1.246643066E+2
1.513290405E+2,1.170921326E+2
1.604270935E+2,1.204872131E+2
1.594352722E+2,1.207923889E+2
