Lag Time [s]	Correlation Function
1.28e-05	0.8019931726
2.56e-05	0.6205718191
3.84e-05	0.4393319067
5.12e-05	0.3030248987
6.4e-05	0.217004093
7.68e-05	0.1669686134
0.0399232	0.09807252761
0.039936	0.1284239496
0.0399488	0.1775541721
0.0399616	0.2545227607
0.0399744	0.3493168361
0.0399872	0.434522523
0.04	0.4713945894
0.0400128	0.440779179
0.0400256	0.3588765771
0.0400384	0.2633906176
0.0400512	0.185121985
0.040064	0.1330858644
0.0400768	0.1020347009
0.0799232	0.09738278391
0.079936	0.126494584
0.0799488	0.1743659208
0.0799616	0.2486238828
0.0799744	0.3407973992
0.0799872	0.4242091985
0.08	0.4617981889
0.0800128	0.4342165887
0.0800256	0.3563365085
0.0800384	0.2639424504
0.0800512	0.1860998523
0.080064	0.1339699991
0.0800768	0.1017986612
0.1199232	0.09553636399
0.119936	0.1243497457
0.1199488	0.1714454501
0.1199616	0.2422347488
0.1199744	0.3315563041
0.1199872	0.4134199758
0.12	0.4526202534
0.1200128	0.4278940732
0.1200256	0.3535497016
0.1200384	0.2625473348
0.1200512	0.1861492316
0.120064	0.1328640495
0.1200768	0.1005597326
0.1599232	0.09199519728
0.159936	0.1183557484
0.1599488	0.1641148814
0.1599616	0.234413011
0.1599744	0.3259963578
0.1599872	0.4118753711
0.16	0.4549945173
0.1600128	0.432638251
0.1600256	0.3563065663
0.1600384	0.2632896671
0.1600512	0.184395842
0.160064	0.1306946278
0.1600768	0.09883545034
0.1999232	0.09039513509
0.199936	0.1158888046
0.1999488	0.1596406785
0.1999616	0.2292031884
0.1999744	0.3200850043
0.1999872	0.4067449752
0.2	0.4513189874
0.2000128	0.4310893817
0.2000256	0.3569244976
0.2000384	0.2637537624
0.2000512	0.1851357745
0.200064	0.1323049364
0.2000768	0.09956020394
0.2399232	0.08769806748
0.239936	0.1140448017
0.2399488	0.1566871903
0.2399616	0.2243040847
0.2399744	0.3131832016
0.2399872	0.3978971628
0.24	0.4448810768
0.2400128	0.4273372446
0.2400256	0.3560901614
0.2400384	0.2655408874
0.2400512	0.1870478702
0.240064	0.1331084693
0.2400768	0.1007676414
0.2799232	0.08703404365
0.279936	0.1120210988
0.2799488	0.1537731894
0.2799616	0.2192119714
0.2799744	0.3036080735
0.2799872	0.3854877104
0.28	0.431282686
0.2800128	0.4170496239
0.2800256	0.3511016404
0.2800384	0.2630791646
0.2800512	0.1863077266
0.280064	0.1313004055
0.2800768	0.09860720933
0.3199232	0.08628920689
0.319936	0.111196782
0.3199488	0.1517084571
0.3199616	0.2157738377
0.3199744	0.2997606029
0.3199872	0.3839199216
0.32	0.4312763011
0.3200128	0.4202748277
0.3200256	0.3546079645
0.3200384	0.2663103545
0.3200512	0.1876132756
0.320064	0.1322530212
0.3200768	0.09947008985
0.3999232	0.08225429875
0.399936	0.1051392299
0.3999488	0.1435215042
0.3999616	0.2058907671
0.3999744	0.2899361557
0.3999872	0.3759841496
0.4	0.4281113699
0.4000128	0.4209701048
0.4000256	0.3579909875
0.4000384	0.2698502716
0.4000512	0.1895238739
0.400064	0.1332957055
0.4000768	0.09987851748
0.4799232	0.08033633323
0.479936	0.1025446359
0.4799488	0.1396307739
0.4799616	0.1984806034
0.4799744	0.2782506189
0.4799872	0.3615147015
0.48	0.4157533126
0.4800128	0.4136942586
0.4800256	0.3569927148
0.4800384	0.2724594439
0.4800512	0.1929917883
0.480064	0.1362514755
0.4800768	0.1013568176
0.5599232	0.07582532331
0.559936	0.09736550486
0.5599488	0.1320121415
0.5599616	0.1886825548
0.5599744	0.2660665044
0.5599872	0.3501696221
0.56	0.4091123114
0.5600128	0.4105631425
0.5600256	0.3570910663
0.5600384	0.2733402867
0.5600512	0.1935993516
0.560064	0.1351465562
0.5600768	0.09931912948
