ome	gStar	gStarABS	gpr	gppr
100000000.0	(119066.56833465403-36682.73306908322j)	124589.20739939093	119066.56833465403	-36682.73306908322
80000000.0	(93405.55216984994-6342.160096189473j)	93620.61829981822	93405.55216984994	-6342.160096189473
40000000.0	(39985.89191114999+23013.863776448292j)	46135.77221474773	39985.89191114999	23013.863776448292
26666666.666666668	(23428.410253603597+22525.91043561896j)	32500.87764914488	23428.410253603597	22525.91043561896
20000000.0	(15883.790324972166+20022.69993494946j)	25557.842392751085	15883.790324972166	20022.69993494946
16000000.0	(11715.95877398547+17705.902049485965j)	21231.17183246649	11715.95877398547	17705.902049485965
13333333.333333334	(9130.409876432637+15788.050418919634j)	18238.062411945164	9130.409876432637	15788.050418919634
11428571.42857143	(7395.014945359425+14220.298707194703j)	16028.198319334977	7395.014945359425	14220.298707194703
10000000.0	(6166.482837958833+12928.725883097355j)	14324.017018668763	6166.482837958833	12928.725883097355
8888888.88888889	(5258.560063188406+11851.410427686775j)	12965.661690158464	5258.560063188406	11851.410427686775
8000000.0	(4565.265928530007+10941.256983343199j)	11855.49481775237	4565.265928530007	10941.256983343199
7272727.2727272725	(4022.827134816206+10163.128944967308j)	10930.339798407269	4022.827134816206	10163.128944967308
6666666.666666667	(3588.2587757642586+9490.66567135158j)	10146.345939658304	3588.2587757642586	9490.66567135158
6153846.153846155	(3234.2602611364655+8903.886223783255j)	9473.100301529787	3234.2602611364655	8903.886223783255
5714285.7142857155	(2941.0916926767823+8387.458987794143j)	8888.16564970867	2941.0916926767823	8387.458987794143
5333333.333333335	(2695.048386153988+7929.51598693857j)	8374.9931098972	2695.048386153988	7929.51598693857
5000000.000000002	(2486.0126368488536+7520.559578729842j)	7920.800162092045	2486.0126368488536	7520.559578729842
4705882.352941178	(2306.743528224111+7153.2025333850015j)	7515.941204442024	2306.743528224111	7153.2025333850015
4210526.315789475	(2015.4140230263267+6519.89175759635j)	6824.2862055297755	2015.4140230263267	6519.89175759635
3809523.8095238106	(1789.6902206156988+5993.22763857307j)	6254.739691907539	1789.6902206156988	5993.22763857307
3478260.8695652187	(1610.0570514266028+5548.188749929199j)	5777.082491508101	1610.0570514266028	5548.188749929199
3200000.0000000014	(1463.9943816218517+5167.022147977407j)	5370.418738525834	1463.9943816218517	5167.022147977407
2962962.9629629645	(1343.3495591305573+4836.769021664472j)	5019.852847140975	1343.3495591305573	4836.769021664472
2758620.689655174	(1242.58620459834+4547.7832126737085j)	4714.483282962716	1242.58620459834	4547.7832126737085
2580645.161290324	(1157.460985449621+4292.783732530422j)	4446.0890799798235	1157.460985449621	4292.783732530422
2424242.4242424257	(1084.6624807279547+4066.050798872095j)	4208.23737402102	1084.6624807279547	4066.050798872095
2162162.1621621633	(967.1077141922797+3680.4035514874276j)	3805.347242059716	967.1077141922797	3680.4035514874276
1951219.512195123	(875.8213362022971+3364.339471587875j)	3476.4699183268303	875.8213362022971	3364.339471587875
1777777.7777777787	(802.8475634281767+3100.4732507392764j)	3202.732987411273	802.8475634281767	3100.4732507392764
1632653.0612244906	(743.094526655328+2876.7391481216264j)	2971.1643512065516	743.094526655328	2876.7391481216264
1509433.9622641518	(693.3955045059588+2684.490675280127j)	2772.5958074221758	693.3955045059588	2684.490675280127
1403508.7719298254	(651.691289553133+2517.436025783946j)	2600.4202892598523	651.691289553133	2517.436025783946
1311475.4098360664	(616.3601273787592+2370.9653145291054j)	2449.7706687203313	616.3601273787592	2370.9653145291054
1230769.2307692317	(585.9800880614671+2241.4382132533083j)	2316.76885498677	585.9800880614671	2241.4382132533083
1095890.4109589048	(536.6110560008901+2022.6906208597052j)	2092.6606923092454	536.6110560008901	2022.6906208597052
987654.3209876548	(497.46408848798046+1844.7947213865716j)	1910.6904729418984	497.46408848798046	1844.7947213865716
898876.4044943824	(465.4998972613849+1697.2509875389371j)	1759.929279559908	465.4998972613849	1697.2509875389371
824742.2680412375	(438.73755536411124+1572.8303356841282j)	1632.8765744339416	438.73755536411124	1572.8303356841282
761904.7619047624	(416.01288195223333+1466.3681400045623j)	1524.2382490839948	416.01288195223333	1466.3681400045623
707964.6017699119	(396.55830593737625+1374.1344433960476j)	1430.2111587228253	396.55830593737625	1374.1344433960476
661157.0247933888	(380.0508546212007+1293.5896812526055j)	1348.2629252269464	380.0508546212007	1293.5896812526055
620155.0387596904	(365.5896379525925+1222.5300164577834j)	1276.0232852571992	365.5896379525925	1222.5300164577834
551724.1379310348	(341.7143543631944+1102.9771360717787j)	1154.697909704074	341.7143543631944	1102.9771360717787
496894.40993788844	(322.16210880395687+1006.1465455441003j)	1056.4654729139704	322.16210880395687	1006.1465455441003
451977.4011299438	(305.7371106896553+926.1379075066598j)	975.2982131500462	305.7371106896553	926.1379075066598
414507.77202072565	(291.6181076156323+858.8811395170396j)	907.0379994837102	291.6181076156323	858.8811395170396
382775.11961722514	(279.3547191566544+801.4378146493689j)	848.7294208786741	279.3547191566544	801.4378146493689
355555.5555555558	(268.62942751612024+751.6921324228601j)	798.2498551669553	268.62942751612024	751.6921324228601
331950.20746887993	(259.50319299815794+708.3483073837746j)	754.3866593131786	259.50319299815794	708.3483073837746
311284.0466926072	(251.35657563295158+670.1237342713807j)	715.7135930997424	251.35657563295158	670.1237342713807
276816.60899653996	(237.69019910011357+605.9199645057556j)	650.8729784949655	237.69019910011357	605.9199645057556
249221.1838006232	(226.2035403942317+553.9978468487643j)	598.3992446518894	226.2035403942317	553.9978468487643
226628.8951841361	(216.3511099695809+511.1790767537446j)	555.078238895996	216.3511099695809	511.1790767537446
207792.20779220795	(207.730587769626+475.2404853629743j)	518.6574168207273	207.730587769626	475.2404853629743
191846.52278177472	(200.11982220869496+444.51919790022833j)	487.4887286314444	200.11982220869496	444.51919790022833
178173.7193763921	(193.36924504451864+417.83415993344477j)	460.409654695006	193.36924504451864	417.83415993344477
166320.16632016643	(187.59899203877794+394.60172088215154j)	436.92550845323836	187.59899203877794	394.60172088215154
155945.41910331397	(182.37928630871303+374.0624965904158j)	416.15496564372546	182.37928630871303	374.0624965904158
138648.1802426344	(173.52288881434473+339.5401148751323j)	381.31048051672207	173.52288881434473	339.5401148751323
124804.99219968807	(165.96611330352468+311.56567466882564j)	353.0126348969947	165.96611330352468	311.56567466882564
113475.17730496461	(159.41750236153314+288.48787765053765j)	329.60460495948934	159.41750236153314	288.48787765053765
104031.20936280892	(153.64071903187468+269.1050691779766j)	309.8757957664894	153.64071903187468	269.1050691779766
96038.41536614652	(148.4843067247557+252.45105111200112j)	292.88073093169777	148.4843067247557	252.45105111200112
89186.17614269795	(143.85661218677924+237.86655185326197j)	277.98421063149965	143.85661218677924	237.86655185326197
83246.6181061395	(139.88197822876472+225.1609534136419j)	265.07437215870726	139.88197822876472	225.1609534136419
78048.78048780494	(136.25066436803013+213.86068105087787j)	253.57569765313653	136.25066436803013	213.86068105087787
69384.21509106683	(130.04077604538926+194.80715003737657j)	234.22303289850046	130.04077604538926	194.80715003737657
62451.20999219364	(124.70090913786359+179.2920090591732j)	218.3940046161624	124.70090913786359	179.2920090591732
56777.85663591204	(120.05845889581938+166.4699783833729j)	205.2468934122994	120.05845889581938	166.4699783833729
52049.446974625935	(115.95481607839267+155.68391444693515j)	194.12109774389413	115.95481607839267	155.68391444693515
48048.048048048084	(112.2702187340512+146.36370812671356j)	184.46391807395153	112.2702187340512	146.36370812671356
44617.958728388214	(108.94067833938912+138.1407475608156j)	175.92878540394472	108.94067833938912	138.1407475608156
41644.97657470071	(106.06818241625761+130.96664289705336j)	168.53106797505555	106.06818241625761	130.96664289705336
39043.435822352396	(103.4353755852455+124.55954108129878j)	161.90724565887888	103.4353755852455	124.55954108129878
34707.158351410006	(98.92064315097392+113.73471766653209j)	150.7344673393849	98.92064315097392	113.73471766653209
31237.797735259686	(95.04672152743359+104.90814192971636j)	141.56128537230447	95.04672152743359	104.90814192971636
28399.006034788796	(91.69202987259685+97.62080577286781j)	133.9300192708908	91.69202987259685	97.62080577286781
26033.19232020828	(88.74033041704865+91.49856604968369j)	127.46306850093991	88.74033041704865	91.49856604968369
24031.24061279665	(86.09551851458112+86.19584948784969j)	121.82841531115234	86.09551851458112	86.19584948784969
22315.202231520238	(83.70359274233289+81.49198186052557j)	116.82137880341317	83.70359274233289	81.49198186052557
20827.90939859413	(81.63585489759342+77.38444053993861j)	112.4845075667766	81.63585489759342	77.38444053993861
19526.482792287054	(79.73900935662869+73.70098800284524j)	108.58243525438198	79.73900935662869	73.70098800284524
17357.344326318085	(76.48365683592395+67.46442734808355j)	101.98626731281139	76.48365683592395	67.46442734808355
15621.948838117563	(73.69237335074378+62.3630973261298j)	96.53870621762937	73.69237335074378	62.3630973261298
14202.023788389854	(71.28062331483417+58.14898112706293j)	91.99038681442102	71.28062331483417	58.14898112706293
13018.714401952815	(69.16141365648627+54.60512024221398j)	88.1193525602081	69.16141365648627	54.60512024221398
