t	msd
1e-08	3.1289484745798056e-20
1.25e-08	3.9107072377243495e-20
2.5e-08	7.816639449901539e-20
3.75e-08	1.1717816992555188e-19
5e-08	1.5614257757885362e-19
6.25e-08	1.9505978149089904e-19
7.5e-08	2.3392993183182826e-19
8.75e-08	2.727531683282025e-19
1e-07	3.115296225108374e-19
1.125e-07	3.5025941939580756e-19
1.25e-07	3.8894267889930817e-19
1.375e-07	4.275795168797429e-19
1.5e-07	4.661700459623548e-19
1.6249999999999998e-07	5.0471437618412655e-19
1.7499999999999997e-07	5.432126154976071e-19
1.8749999999999995e-07	5.816648701619847e-19
1.9999999999999994e-07	6.200712450518144e-19
2.1249999999999992e-07	6.58431843895367e-19
2.3749999999999992e-07	7.350161237185917e-19
2.624999999999999e-07	8.11418522744738e-19
2.874999999999999e-07	8.876398442637135e-19
3.1249999999999987e-07	9.636808838465347e-19
3.3749999999999984e-07	1.0395424306599954e-18
3.624999999999998e-07	1.1152252683003757e-18
3.874999999999998e-07	1.1907301753293312e-18
4.1249999999999976e-07	1.2660579256301546e-18
4.6249999999999975e-07	1.416185029565432e-18
5.124999999999998e-07	1.5656126852267277e-18
5.624999999999997e-07	1.7143469329298535e-18
6.124999999999996e-07	1.8623937505801457e-18
6.624999999999996e-07	2.0097590554088488e-18
7.124999999999995e-07	2.156448737346207e-18
7.624999999999995e-07	2.3024685344137576e-18
8.124999999999994e-07	2.447824219148568e-18
9.124999999999994e-07	2.7365659423797693e-18
1.0124999999999994e-06	3.0227187415479657e-18
1.1124999999999995e-06	3.306326588391008e-18
1.2124999999999994e-06	3.5874326228291244e-18
1.3124999999999993e-06	3.8660791135104075e-18
1.4124999999999992e-06	4.142307544676794e-18
1.512499999999999e-06	4.416158688035135e-18
1.612499999999999e-06	4.687672403589512e-18
1.812499999999999e-06	5.223843500924393e-18
2.012499999999999e-06	5.751125263759538e-18
2.2124999999999987e-06	6.26981056739587e-18
2.4124999999999985e-06	6.780181187593036e-18
2.6124999999999983e-06	7.282508209342273e-18
2.812499999999998e-06	7.777052423560701e-18
3.012499999999998e-06	8.264064711305046e-18
3.2124999999999976e-06	8.743786413399128e-18
3.6124999999999976e-06	9.682277874933941e-18
4.012499999999998e-06	1.0594280027565981e-17
4.412499999999997e-06	1.1481415251398759e-17
4.812499999999997e-06	1.2345184766432201e-17
5.212499999999996e-06	1.3186977945224644e-17
5.612499999999996e-06	1.4008080694964572e-17
6.012499999999995e-06	1.48096829872117e-17
6.412499999999995e-06	1.5592886971542513e-17
7.212499999999995e-06	1.7108106784579165e-17
8.012499999999995e-06	1.8561035913234695e-17
8.812499999999994e-06	1.9957943763103265e-17
9.612499999999993e-06	2.1304225096421032e-17
1.0412499999999992e-05	2.2604533061413168e-17
1.1212499999999991e-05	2.3862888934801895e-17
1.201249999999999e-05	2.5082777976879034e-17
1.281249999999999e-05	2.6267229570401412e-17
1.441249999999999e-05	2.8540058121863846e-17
1.601249999999999e-05	3.069883986256892e-17
1.7612499999999988e-05	3.27571628303409e-17
1.9212499999999986e-05	3.472578802776299e-17
2.0812499999999984e-05	3.6613403380625584e-17
2.2412499999999982e-05	3.842716170440029e-17
2.401249999999998e-05	4.017306697258014e-17
2.561249999999998e-05	4.185624986100425e-17
2.881249999999998e-05	4.5051762825091924e-17
3.201249999999998e-05	4.804364641991578e-17
3.521249999999998e-05	5.085616771014685e-17
3.841249999999998e-05	5.3509603289948477e-17
4.1612499999999975e-05	5.602122489382816e-17
4.481249999999997e-05	5.840590999377202e-17
4.801249999999997e-05	6.067656302093625e-17
5.1212499999999964e-05	6.284441833028305e-17
5.7612499999999964e-05	6.690972842827607e-17
6.401249999999996e-05	7.066646947296684e-17
7.041249999999996e-05	7.416431938903762e-17
7.681249999999995e-05	7.744169754506307e-17
8.321249999999994e-05	8.052854832207635e-17
8.961249999999994e-05	8.344843339652025e-17
9.601249999999993e-05	8.622010780689543e-17
0.00010241249999999992	8.885869914855394e-17
0.00011521249999999992	9.378405258021468e-17
0.00012801249999999992	9.83012441559634e-17
0.00014081249999999993	1.0246648414188642e-16
0.00015361249999999992	1.0632336861334875e-16
0.0001664124999999999	1.0990731697362399e-16
0.0001792124999999999	1.1324808834185926e-16
0.00019201249999999988	1.16371258212595e-16
0.00020481249999999986	1.1929911890867735e-16
0.00023041249999999986	1.2464502312116894e-16
0.00025601249999999986	1.2941692519279862e-16
0.00028161249999999983	1.3371786079859532e-16
0.0003072124999999998	1.3762902056699985e-16
0.0003328124999999998	1.412144566891443e-16
0.00035841249999999975	1.4452479131758833e-16
0.0003840124999999997	1.4760014325815503e-16
0.0004096124999999997	1.5047244914219688e-16
0.0004608124999999997	1.5570526509950162e-16
0.0005120124999999997	1.6037484179409898e-16
0.0005632124999999997	1.6458339502998232e-16
0.0006144124999999997	1.6840305774796487e-16
0.0006656124999999996	1.7188730993214407e-16
0.0007168124999999996	1.7507775385293694e-16
0.0007680124999999995	1.7800811808381318e-16
0.0008192124999999995	1.8070666330115438e-16
0.0009216124999999995	1.8550221507654167e-16
0.0010240124999999994	1.8962467624135175e-16
0.0011264124999999995	1.931998870069421e-16
0.0012288124999999994	1.9632813585311256e-16
0.0013312124999999993	1.9908971456632473e-16
0.0014336124999999992	2.0154895954275648e-16
0.001536012499999999	2.037574160948372e-16
0.001638412499999999	2.0575640394607068e-16
0.001843212499999999	2.0925206242713664e-16
0.002048012499999999	2.1223084100807056e-16
0.0022528124999999987	2.1482027713275557e-16
0.0024576124999999985	2.1710551616710527e-16
0.0026624124999999983	2.191449839466774e-16
0.002867212499999998	2.2098013417458268e-16
0.003072012499999998	2.226415082719892e-16
0.0032768124999999976	2.2415249353378673e-16
0.0036864124999999976	2.267942442031289e-16
0.004096012499999998	2.2901907521733255e-16
0.004505612499999997	2.3090996072731106e-16
0.004915212499999997	2.325308671547672e-16
0.005324812499999996	2.339324450408173e-16
0.005734412499999996	2.351552823930003e-16
0.006144012499999995	2.362320625192694e-16
0.006553612499999995	2.3718915533045e-16
0.007372812499999995	2.388253263533564e-16
0.008192012499999995	2.4018954674670567e-16
0.009011212499999994	2.4136399925098334e-16
0.009830412499999993	2.4240262259017836e-16
0.010649612499999992	2.433410706060033e-16
0.011468812499999991	2.442031671901687e-16
0.01228801249999999	2.450050621517353e-16
0.01310721249999999	2.4575792118060075e-16
0.01474561249999999	2.4714595238728166e-16
0.01638401249999999	2.4840864895569077e-16
0.018022412499999987	2.4957051562113817e-16
0.019660812499999986	2.5064792252419305e-16
0.021299212499999984	2.51652896272588e-16
0.022937612499999982	2.5259483932379893e-16
0.02457601249999998	2.5348137378453813e-16
0.02621441249999998	2.543188174882739e-16
0.029491212499999978	2.558667873081847e-16
0.03276801249999998	2.5727215172957117e-16
0.03604481249999998	2.585593192684887e-16
0.03932161249999998	2.597465212709195e-16
0.042598412499999974	2.6084769749483307e-16
0.04587521249999997	2.6187376328494147e-16
0.04915201249999997	2.628334801206831e-16
0.05242881249999996	2.6373404476847456e-16
0.05898241249999996	2.6538100996472515e-16
0.06553601249999996	2.668536305312039e-16
0.07208961249999996	2.6818195820338245e-16
0.07864321249999995	2.6939006359063113e-16
0.08519681249999994	2.704976618241442e-16
0.09175041249999993	2.7152109563361325e-16
0.09830401249999993	2.724740032304398e-16
0.10485761249999992	2.733677891199373e-16
0.11796481249999992	2.750147173601139e-16
0.13107201249999992	2.765213028545129e-16
0.14417921249999993	2.7792932591382617e-16
0.15728641249999992	2.792681357702016e-16
0.1703936124999999	2.805583346102183e-16
0.1835008124999999	2.818143767574481e-16
0.19660801249999987	2.8304639514201734e-16
0.20971521249999986	2.84261492522266e-16
0.23592961249999986	2.8665934560637206e-16
0.26214401249999986	2.8903241180268753e-16
0.2883584124999998	2.9139269908925786e-16
0.3145728124999998	2.937460830805199e-16
0.34078721249999977	2.960954472056141e-16
0.36700161249999974	2.9844219206809685e-16
