sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
1.712236504E+2,1.221854627E+2,1.294263760E+2,9.313003851E+1,

Count Trace ChA [kHz],Count Trace ChB [kHz]
6.805419922E+2,5.040168762E+2
8.425712585E+2,6.373596191E+2
8.373641968E+2,6.411361694E+2
6.364250183E+2,4.792785645E+2
4.781532288E+2,3.616142273E+2
3.770256042E+2,2.884483337E+2
3.189468384E+2,2.419090271E+2
2.492713928E+2,1.871109009E+2
2.686309814E+2,2.022552490E+2
1.914787292E+2,1.438140869E+2
1.491165161E+2,1.109886169E+2
1.417732239E+2,1.060485840E+2
1.096534729E+2,8.316040039E+1
5.094528198E+1,3.786087036E+1
5.706787109E+1,4.367828369E+1
7.823944092E+1,6.111145020E+1
1.096343994E+2,8.066177368E+1
1.376724243E+2,1.065826416E+2
3.081512451E+2,2.303695679E+2
3.787803650E+2,2.899551392E+2
3.309822083E+2,2.428627014E+2
4.110717773E+2,3.115272522E+2
5.695915222E+2,4.324150085E+2
5.306434631E+2,3.980827332E+2
4.613113403E+2,3.524208069E+2
3.790664673E+2,2.885055542E+2
2.865409851E+2,2.173805237E+2
2.908325195E+2,2.139282227E+2
1.741218567E+2,1.278114319E+2
1.722908020E+2,1.259040833E+2
1.405715942E+2,1.066207886E+2
1.782608032E+2,1.361846924E+2
2.794075012E+2,2.099227905E+2
3.217697144E+2,2.480316162E+2
3.430557251E+2,2.615547180E+2
3.322410583E+2,2.556800842E+2
3.521728516E+2,2.676200867E+2
3.008270264E+2,2.314758301E+2
1.987075806E+2,1.486206055E+2
1.444625854E+2,1.076889038E+2
1.431465149E+2,1.077842712E+2
1.181793213E+2,8.413314819E+1
7.482528687E+1,5.296707153E+1
6.750106812E+1,4.943847656E+1
5.453109741E+1,4.175186157E+1
4.692077637E+1,3.482818604E+1
5.706787109E+1,4.266738892E+1
5.647659302E+1,4.207611084E+1
7.865905762E+1,5.985260010E+1
1.263999939E+2,9.323120117E+1
1.351928711E+2,1.022338867E+2
1.739883423E+2,1.340103149E+2
1.143646240E+2,8.611679077E+1
7.329940796E+1,5.367279053E+1
8.417129517E+1,6.330490112E+1
