Lag Time [s]	Correlation Function
1.25e-08	0.930952738
2.5e-08	0.9399688504
3.75e-08	0.9424365447
5e-08	0.9358640516
6.25e-08	0.93255373
7.5e-08	0.9369233545
8.75e-08	0.9437606734
1e-07	0.9407633276
1.125e-07	0.9273414781
1.25e-07	0.948696062
1.375e-07	0.9356714511
1.5e-07	0.9291471081
1.625e-07	0.942171719
1.75e-07	0.9354908881
1.875e-07	0.9338898961
2e-07	0.9334324699
2.125e-07	0.939481368
2.375e-07	0.9366284726
2.625e-07	0.9300439418
2.875e-07	0.9343834726
3.125e-07	0.9316690088
3.375e-07	0.9381813144
3.625e-07	0.9358640892
3.875e-07	0.9375613814
4.125e-07	0.9352892968
4.625e-07	0.9339410931
5.125e-07	0.9349703022
5.625e-07	0.9330894376
6.125e-07	0.9336852955
6.625e-07	0.9329901279
7.125e-07	0.9328697526
7.625e-07	0.9338718773
8.125e-07	0.9286942329
9.125e-07	0.9294826913
1.0125e-06	0.9304712737
1.1125e-06	0.9290899668
1.2125e-06	0.926853995
1.3125e-06	0.9291185559
1.4125e-06	0.9292870814
1.5125e-06	0.9245277416
1.6125e-06	0.9261949394
1.8125e-06	0.9241824142
2.0125e-06	0.9246067373
2.2125e-06	0.9221841837
2.4125e-06	0.9220683224
2.6125e-06	0.9176791368
2.8125e-06	0.9176513
3.0125e-06	0.9149616831
3.2125e-06	0.9154759653
3.6125e-06	0.9128141657
4.0125e-06	0.9112790039
4.4125e-06	0.9084246037
4.8125e-06	0.9082131945
5.2125e-06	0.904740366
5.6125e-06	0.902993795
6.0125e-06	0.9000299285
6.4125e-06	0.898816204
7.2125e-06	0.8963532117
8.0125e-06	0.8925194453
8.8125e-06	0.8889864291
9.6125e-06	0.8856779881
1.04125e-05	0.882674831
1.12125e-05	0.8792037147
1.20125e-05	0.876416857
1.28125e-05	0.8742941592
1.44125e-05	0.8688530055
1.60125e-05	0.8635423093
1.76125e-05	0.859372244
1.92125e-05	0.8538477875
2.08125e-05	0.8503739243
2.24125e-05	0.8464663531
2.40125e-05	0.8426094518
2.56125e-05	0.8393378454
2.88125e-05	0.832212988
3.20125e-05	0.8256251644
3.52125e-05	0.8196664157
3.84125e-05	0.8138355187
4.16125e-05	0.8084295562
4.48125e-05	0.8038579178
4.80125e-05	0.7988179521
5.12125e-05	0.7943962023
5.76125e-05	0.7861638161
6.40125e-05	0.7783286921
7.04125e-05	0.7718442174
7.68125e-05	0.7650879577
8.32125e-05	0.7589436139
8.96125e-05	0.7531709801
9.60125e-05	0.7479096085
0.0001024125	0.7434729029
0.0001152125	0.7340456285
0.0001280125	0.725826152
0.0001408125	0.7187285798
0.0001536125	0.7113843324
0.0001664125	0.705184729
0.0001792125	0.6991324367
0.0001920125	0.6939929913
0.0002048125	0.6891562436
0.0002304125	0.6802401575
0.0002560125	0.6723868376
0.0002816125	0.66492926
0.0003072125	0.6585053185
0.0003328125	0.6526932798
0.0003584125	0.6469977532
0.0003840125	0.6422179183
0.0004096125	0.6375578297
0.0004608125	0.6290963349
0.0005120125	0.6220212285
0.0005632125	0.6156490618
0.0006144125	0.6099489401
0.0006656125	0.6049363098
0.0007168125	0.600558803
0.0007680125	0.5962734193
0.0008192125	0.5925901117
0.0009216125	0.5863875129
0.0010240125	0.5807976635
0.0011264125	0.5758775928
0.0012288125	0.5717615781
0.0013312125	0.5680649305
0.0014336125	0.5648829082
0.0015360125	0.562087704
0.0016384125	0.559474256
0.0018432125	0.5548510194
0.0020480125	0.5507852702
0.0022528125	0.5470716566
0.0024576125	0.5439319131
0.0026624125	0.5414389126
0.0028672125	0.5390405455
0.0030720125	0.5371950606
0.0032768125	0.5353219932
0.0036864125	0.5320893479
0.0040960125	0.529048872
0.0045056125	0.5268611148
0.0049152125	0.5246786132
0.0053248125	0.5231098209
0.0057344125	0.5215138785
0.0061440125	0.5205397099
0.0065536125	0.5192885977
0.0073728125	0.5173290221
0.0081920125	0.5152830595
0.0090112125	0.5138625652
0.0098304125	0.5121941513
0.0106496125	0.510466436
0.0114688125	0.5095437479
0.0122880125	0.508588264
0.0131072125	0.5075754965
0.0147456125	0.5049940474
0.0163840125	0.5031346127
0.0180224125	0.5014315431
0.0196608125	0.4995731432
0.0212992125	0.4980493733
0.0229376125	0.4963960577
0.0245760125	0.4949315561
0.0262144125	0.4946758002
0.0294912125	0.493630292
0.0327680125	0.4917361323
0.0360448125	0.488882675
0.0393216125	0.486061698
0.0425984125	0.4841237031
0.0458752125	0.4809205372
0.0491520125	0.4771937736
0.0524288125	0.473153859
0.0589824125	0.4670665017
0.0655360125	0.4617836795
0.0720896125	0.4544790845
0.0786432125	0.4486406403
0.0851968125	0.4408639652
0.0917504125	0.4328298383
0.0983040125	0.4246802729
0.1048576125	0.4178560034
0.1179648125	0.4021052158
0.1310720125	0.3837207865
0.1441792125	0.3661821164
0.1572864125	0.3481566627
0.1703936125	0.3292468887
0.1835008125	0.3105843712
0.1966080125	0.2923140281
0.2097152125	0.2742927846
0.2359296125	0.2379962708
0.2621440125	0.2020175053
0.2883584125	0.1694607174
0.3145728125	0.139625431
0.3407872125	0.1119842531
0.3670016125	0.08753300348
0.3932160125	0.06764179801
0.4194304125	0.05132484921
0.4718592125	0.02489506476
0.5242880125	0.008528127328
0.5767168125	-0.001196194393
0.6291456125	-0.005798928757
0.6815744125	-0.00607954654
0.7340032125	-0.004274701993
0.7864320125	-0.00165088508
0.8388608125	0.001947744035
0.9437184125	0.009508696062
1.048576012	0.01634077241
1.153433612	0.01976007774
1.258291212	0.01735386258
1.363148812	0.01417647114
1.468006412	0.01085314097
1.572864012	0.004899119677
1.677721612	-0.003880516917
1.887436813	-0.01763086781
2.097152013	-0.01818239261
2.306867213	-0.01726558681
2.516582413	-0.01180648002
2.726297612	-0.004960090556
2.936012813	0.0003429180363
3.145728013	0.0008429169693
3.355443212	-0.00024487802
3.774873612	-0.01245027645
4.194304012	-0.01308720783
4.613734412	-0.0154858002
5.033164812	0.0004726169954
5.452595213	0.009514162059
5.872025612	-0.009884690753
6.291456012	-0.02390051831
6.710886412	-0.0118855157
7.549747212	-0.005273218634
8.388608013	-0.02481234744
9.227468812	-0.007668475477
10.06632961	-0.02149502644
10.90519041	0.01069877681
11.74405121	0.003300697807
12.58291201	0.00791699822
13.42177281	0.01006004123
15.09949441	-0.0211847768
16.77721601	-0.005668047814
18.45493761	-0.02209427983
20.13265921	-0.01547718092
21.81038081	-0.01620620701
23.48810241	-0.0004021066757
25.16582401	0.01071153217
26.84354561	-0.00825858435
30.19898881	-0.002635036641
33.55443201	-0.00696768499
36.90987521	-0.00787814077
40.26531841	0.01396498533
43.62076161	-0.01384030419
46.97620481	-0.0156475804
50.33164801	-0.006557189621
53.68709121	-0.02966458179
60.39797761	-0.01745966236
67.10886401	-0.01579397348
73.81975041	-0.005196982355
80.53063681	-0.02685127502
87.24152321	-0.006574719582
93.95240961	-0.01999216278
100.663296	-0.01167408774
107.3741824	-0.02285463591
120.7959552	-0.01940520526
134.217728	-0.007183353876
147.6395008	-0.00316918588
161.0612736	0.02641114313
174.4830464	0.04076272095
187.9048192	0.01016746359
201.326592	0.02552332384
214.7483648	0.01328686313
241.5919104	0.009093248993
268.435456	0.03666913111
