ome	zstar	zpr	zppr	zstarFi	zprFi	zpprFi	zprS	zpprS	zC
100000000.0	194554.41703007196	145.81845480399443	194554.3623846286	195104.41140347614	2019.4799744713132	195093.95954188224	2062.7273464204754	195106.17639242858	(2062.7273464204754+195106.17639242858j)
80000000.0	155672.9740142595	151.89995019659685	155672.89990505556	156144.54000358604	1759.5242323715036	156134.62603601796	1698.6475820862443	156117.47543423873	(1698.6475820862443+156117.47543423873j)
40000000.0	77906.12286695695	150.8581812258379	77905.97680518839	78142.72444526713	958.4441056859176	78136.84642104022	952.0658052202771	78135.29618129125	(952.0658052202771+78135.29618129125j)
26666666.666666668	51983.553048994756	149.7739143865462	51983.33728582863	52143.36305962508	695.93753993043	52138.71864659112	699.5083982416822	52139.6105474776	(699.5083982416822+52139.6105474776j)
20000000.0	39022.25460415605	149.34008615839102	39021.96883718509	39144.6915375894	568.3302927761091	39140.565609752455	570.6295470160917	39141.15177003064	(570.6295470160917+39141.15177003064j)
16000000.0	31245.44127090794	149.07586274924722	31245.08563919937	31346.36353727283	494.9174071813137	31342.456249804938	498.5075011722872	31343.349129027647	(498.5075011722872+31343.349129027647j)
13333333.333333334	26060.872535473965	148.89520254096317	26060.44718589613	26148.26935129324	448.8202756995747	26144.417194267353	454.85054278236936	26145.869270900057	(454.85054278236936+26145.869270900057j)
11428571.42857143	22357.587551006873	148.76028458381037	22357.09264369292	22436.079372078126	418.5336825646687	22432.17526560339	424.67679827697907	22433.632634554524	(424.67679827697907+22433.632634554524j)
10000000.0	19580.10642812325	148.65487571412706	19579.54211580444	19652.630228999507	398.3130659031114	19648.593375081997	406.33171256075457	19650.448295088485	(406.33171256075457+19650.448295088485j)
8888888.88888889	17419.82907240059	148.57004629755832	17419.195499591704	17488.3869485788	384.9706745176422	17484.149268494097	394.00942114178713	17486.181418719734	(394.00942114178713+17486.181418719734j)
8000000.0	15691.595279704723	148.500405663457	15690.892583010354	15757.627909562689	376.5943776191878	15753.127118479511	385.61921640311283	15755.0888837271	(385.61921640311283+15755.0888837271j)
