sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.697762719E+1,2.219283033E+0,6.149019514E+1,2.079294463E+0,

Count Trace ChA [kHz],Count Trace ChB [kHz]
6.483078003E+1,6.174087524E+1
6.931304932E+1,6.240844727E+1
6.895065308E+1,6.259918213E+1
6.620407104E+1,6.174087524E+1
6.795883179E+1,6.420135498E+1
6.546020508E+1,6.095886230E+1
6.572723389E+1,6.107330322E+1
6.761550903E+1,6.219863892E+1
6.658554077E+1,6.332397461E+1
6.624221802E+1,6.189346313E+1
6.786346436E+1,6.160736084E+1
6.631851196E+1,6.103515625E+1
6.647109985E+1,6.290435791E+1
6.685256958E+1,6.006240845E+1
6.675720215E+1,6.086349487E+1
6.540298462E+1,6.263732910E+1
6.799697876E+1,6.195068359E+1
7.108688354E+1,6.546020508E+1
6.607055664E+1,5.968093872E+1
6.883621216E+1,6.376266479E+1
6.771087646E+1,6.597518921E+1
6.626129150E+1,6.103515625E+1
6.891250610E+1,6.261825562E+1
6.822586060E+1,6.109237671E+1
7.030487061E+1,6.208419800E+1
6.938934326E+1,6.513595581E+1
6.683349609E+1,5.926132202E+1
6.607055664E+1,6.063461304E+1
6.889343262E+1,6.345748901E+1
6.317138672E+1,5.792617798E+1
7.074356079E+1,6.305694580E+1
6.769180298E+1,6.298065186E+1
6.700515747E+1,6.069183350E+1
6.885528564E+1,6.496429443E+1
7.164001465E+1,6.496429443E+1
6.702423096E+1,5.973815918E+1
6.937026978E+1,6.368637085E+1
6.885528564E+1,6.319046021E+1
6.618499756E+1,6.130218506E+1
7.041931152E+1,6.393432617E+1
6.856918335E+1,6.093978882E+1
7.101058960E+1,6.359100342E+1
6.788253784E+1,6.187438965E+1
6.835937500E+1,6.078720093E+1
6.671905518E+1,6.511688232E+1
6.610870361E+1,5.960464478E+1
6.462097168E+1,6.175994873E+1
6.549835205E+1,5.992889404E+1
6.813049316E+1,6.181716919E+1
7.017135620E+1,6.122589111E+1
6.635665894E+1,6.164550781E+1
6.368637085E+1,5.918502808E+1
6.679534912E+1,5.981445312E+1
6.786346436E+1,6.635665894E+1
6.696701050E+1,6.196975708E+1
