Lag Time [s]	Correlation Function
1.28e-05	0.6505628346
2.56e-05	0.5158730982
3.84e-05	0.3702671267
5.12e-05	0.2561678694
6.4e-05	0.1823001612
7.68e-05	0.1442964192
0.0399232	0.106727909
0.039936	0.1342309641
0.0399488	0.1901372597
0.0399616	0.2787302742
0.0399744	0.3841228716
0.0399872	0.4766900417
0.04	0.5166503182
0.0400128	0.4812895124
0.0400256	0.3918107596
0.0400384	0.2857320402
0.0400512	0.1951172155
0.040064	0.1371020587
0.0400768	0.1054181306
0.0799232	0.106671011
0.079936	0.1334933422
0.0799488	0.1889915472
0.0799616	0.2746545868
0.0799744	0.3780202383
0.0799872	0.4707133874
0.08	0.5115488704
0.0800128	0.480933065
0.0800256	0.3950082491
0.0800384	0.2882170326
0.0800512	0.1975905078
0.080064	0.1386385805
0.0800768	0.1086099727
0.1199232	0.1052883191
0.119936	0.1330294818
0.1199488	0.1854988794
0.1199616	0.2699927193
0.1199744	0.374784501
0.1199872	0.4694190036
0.12	0.5111911773
0.1200128	0.4836731742
0.1200256	0.3969910164
0.1200384	0.2916795718
0.1200512	0.2016009261
0.120064	0.1410234881
0.1200768	0.1092859948
0.1599232	0.1049295464
0.159936	0.1308171626
0.1599488	0.1829258807
0.1599616	0.2665842476
0.1599744	0.3711955782
0.1599872	0.4659756183
0.16	0.5147388713
0.1600128	0.4876417841
0.1600256	0.4025675472
0.1600384	0.2946076149
0.1600512	0.2030307902
0.160064	0.1400697817
0.1600768	0.1087541841
0.1999232	0.1032842337
0.199936	0.126511687
0.1999488	0.1781340214
0.1999616	0.2610582555
0.1999744	0.3665349465
0.1999872	0.4628935062
0.2	0.5131369249
0.2000128	0.4905980931
0.2000256	0.4058361574
0.2000384	0.2998802183
0.2000512	0.2047629695
0.200064	0.1415136442
0.2000768	0.1084408044
0.2399232	0.1046760327
0.239936	0.127946514
0.2399488	0.177263611
0.2399616	0.2581923933
0.2399744	0.3616851987
0.2399872	0.459120628
0.24	0.5100370756
0.2400128	0.4906323174
0.2400256	0.4083310276
0.2400384	0.3022585083
0.2400512	0.2083257952
0.240064	0.1457623744
0.2400768	0.1112517578
0.2799232	0.10360749
0.279936	0.125160532
0.2799488	0.1746419629
0.2799616	0.2561741521
0.2799744	0.3567469645
0.2799872	0.4538861614
0.28	0.5082063019
0.2800128	0.4893873559
0.2800256	0.4121030782
0.2800384	0.3045874117
0.2800512	0.2120972958
0.280064	0.1475716709
0.2800768	0.1124509584
0.3199232	0.1038315453
0.319936	0.1257687546
0.3199488	0.1718184618
0.3199616	0.2516735245
0.3199744	0.3531452706
0.3199872	0.4521177247
0.32	0.5067114807
0.3200128	0.4929470742
0.3200256	0.4145566739
0.3200384	0.3101180597
0.3200512	0.2138133396
0.320064	0.1485231284
0.3200768	0.112909691
0.3999232	0.1001017063
0.399936	0.1218322142
0.3999488	0.1663412905
0.3999616	0.2440651326
0.3999744	0.3455219454
0.3999872	0.4460672652
0.4	0.5060183164
0.4000128	0.4970603233
0.4000256	0.4231449273
0.4000384	0.3190126618
0.4000512	0.221905503
0.400064	0.1521311034
0.4000768	0.1138347085
0.4799232	0.1005491796
0.479936	0.1190784126
0.4799488	0.1635273501
0.4799616	0.2364754299
0.4799744	0.3368968108
0.4799872	0.4392384254
0.48	0.5039333483
0.4800128	0.5006851669
0.4800256	0.427626702
0.4800384	0.3258037647
0.4800512	0.2265081053
0.480064	0.1574344753
0.4800768	0.1168094792
0.5599232	0.09881454228
0.559936	0.1170056506
0.5599488	0.1589870136
0.5599616	0.2312643654
0.5599744	0.3280764253
0.5599872	0.4316341168
0.56	0.4999534219
0.5600128	0.5008432307
0.5600256	0.4343521734
0.5600384	0.3336186941
0.5600512	0.2332087084
0.560064	0.1608153109
0.5600768	0.1165390484
0.6399232	0.09864986266
0.639936	0.1156456614
0.6399488	0.1541637056
0.6399616	0.2244121182
0.6399744	0.3208496465
0.6399872	0.4254814215
0.64	0.496232937
0.6400128	0.5026110626
0.6400256	0.4414964585
0.6400384	0.3412160232
0.6400512	0.2397138828
0.640064	0.1658416525
0.6400768	0.1197347364
0.7199232	0.09707355576
0.719936	0.1126979395
0.7199488	0.1502374815
0.7199616	0.2161305688
0.7199744	0.3136822131
0.7199872	0.4172595095
0.72	0.4924319467
0.7200128	0.5062934097
0.7200256	0.4458771462
0.7200384	0.3471706084
0.7200512	0.2461019481
0.720064	0.1682926392
0.7200768	0.1218079032
0.7999232	0.09770717623
0.799936	0.1111068106
0.7999488	0.1468069503
0.7999616	0.2108512358
0.7999744	0.3059087067
0.7999872	0.4110695968
0.8	0.4888673035
0.8000128	0.5057444991
0.8000256	0.45299296
0.8000384	0.356030017
0.8000512	0.2553238176
0.800064	0.1749048499
0.8000768	0.1261075429
0.8799232	0.09685491014
0.879936	0.1102102492
0.8799488	0.1425621157
0.8799616	0.2067343684
0.8799744	0.2987667121
0.8799872	0.4028991389
0.88	0.4853794017
0.8800128	0.5074346205
0.8800256	0.4593197226
0.8800384	0.3643942179
0.8800512	0.2613644394
0.880064	0.1778195784
0.8800768	0.1287450325
0.9999232	0.09744803546
0.999936	0.1079049929
0.9999488	0.1390561825
0.9999616	0.1979934865
0.9999744	0.2881715174
0.9999872	0.3904895464
1.0	0.4785421472
1.0000128	0.5081214312
1.0000256	0.4664390355
1.0000384	0.3748798362
1.0000512	0.2705893146
1.000064	0.1862267158
1.0000768	0.132077013
1.119936	0.1061925151
1.1199488	0.1328522038
1.1199616	0.1890789975
1.1199744	0.2756064086
1.1199872	0.3795475814
1.12	0.4697364373
1.1200128	0.5091970479
1.1200256	0.4756339283
1.1200384	0.387862566
1.1200512	0.2828691458
1.120064	0.194638788
1.1200768	0.1371955717
1.1200896	0.1068813568
1.239936	0.1047427315
1.2399488	0.12844402
1.2399616	0.1811946524
1.2399744	0.2629711565
1.2399872	0.3662750148
1.24	0.4601531316
1.2400128	0.5078822223
1.2400256	0.4826461712
1.2400384	0.3991874737
1.2400512	0.2940276268
1.240064	0.2021277587
1.2400768	0.1417978883
1.2400896	0.1087394517
1.359936	0.1019885107
1.3599488	0.1253944091
1.3599616	0.1730746732
1.3599744	0.2519698254
1.3599872	0.3543845123
1.36	0.4519350183
1.3600128	0.5051287224
1.3600256	0.4875181922
1.3600384	0.4086615827
1.3600512	0.3038834476
1.360064	0.2107304076
1.3600768	0.145932719
1.3600896	0.109943127
1.479936	0.09883981836
1.4799488	0.1200007461
1.4799616	0.1647550961
1.4799744	0.2414123914
1.4799872	0.3435388174
1.48	0.4408476647
1.4800128	0.5033895287
1.4800256	0.4918537283
1.4800384	0.4193460324
1.4800512	0.3157809262
1.480064	0.2195511068
1.4800768	0.1516037348
1.4800896	0.1135983424
1.599936	0.09948420287
1.5999488	0.1180571523
1.5999616	0.1603042243
1.5999744	0.2329933075
1.5999872	0.331316359
1.6	0.4323870111
1.6000128	0.4964618325
1.6000256	0.4960493457
1.6000384	0.4295685123
1.6000512	0.3272434207
1.600064	0.2286242211
1.6000768	0.1565076446
1.6000896	0.1172105752
1.719936	0.09862193984
1.7199488	0.1157963896
1.7199616	0.1545441373
1.7199744	0.2233995839
1.7199872	0.3200481957
1.72	0.421700037
1.7200128	0.492893177
1.7200256	0.5002203326
1.7200384	0.438712013
1.7200512	0.3391059573
1.720064	0.2386735088
1.7200768	0.1644778539
1.7200896	0.1203555171
1.879936	0.09708393022
1.8799488	0.1105775522
1.8799616	0.1458507173
1.8799744	0.2093049584
1.8799872	0.3029345673
1.88	0.4083779308
1.8800128	0.4849297403
1.8800256	0.501928899
1.8800384	0.4507017349
1.8800512	0.3528137065
1.880064	0.2528991515
1.8800768	0.1729269912
1.8800896	0.1259312856
2.039936	0.09612955498
2.0399488	0.1076556527
2.0399616	0.1382828876
2.0399744	0.1982253824
2.0399872	0.2884944547
2.04	0.3910727003
2.0400128	0.4766402944
2.0400256	0.5042693061
2.0400384	0.4629528475
2.0400512	0.3692484536
2.040064	0.2670614985
2.0400768	0.1839945894
2.0400896	0.1299235731
2.1999488	0.1056427392
2.1999616	0.1334734878
2.1999744	0.1886260797
2.1999872	0.2745716601
2.2	0.3773841927
2.2000128	0.4673430283
2.2000256	0.5043654619
2.2000384	0.4722829462
2.2000512	0.3858203455
2.200064	0.2829062234
2.2000768	0.1959790239
2.2000896	0.137601375
2.2001024	0.108231926
2.3599488	0.1028274779
2.3599616	0.1280936004
2.3599744	0.1778770525
2.3599872	0.259311857
2.36	0.3605800791
2.3600128	0.4562291819
2.3600256	0.502228261
2.3600384	0.4784099533
2.3600512	0.3996504099
2.360064	0.2980969493
2.3600768	0.2055728241
2.3600896	0.1426528025
2.3601024	0.1109960855
2.5199488	0.09978936251
2.5199616	0.1219174289
2.5199744	0.1692979379
2.5199872	0.2457548407
2.52	0.3462816799
2.5200128	0.4428431835
2.5200256	0.4987532405
2.5200384	0.489787961
2.5200512	0.4151308705
2.520064	0.3126535613
2.5200768	0.2171339682
2.5200896	0.1496085406
2.5201024	0.1118983157
2.6799488	0.09764342358
2.6799616	0.1173997095
2.6799744	0.1599767394
2.6799872	0.2316447564
2.68	0.3297035801
2.6800128	0.4289367345
2.6800256	0.4952107245
2.6800384	0.4941212129
2.6800512	0.4272785124
2.680064	0.326718542
2.6800768	0.2293393308
2.6800896	0.1572270716
2.6801024	0.1161836259
2.8399488	0.09757105196
2.8399616	0.1125465138
2.8399744	0.1514513079
2.8399872	0.2198259489
2.84	0.3142042537
2.8400128	0.4167431798
2.8400256	0.4888186506
2.8400384	0.5004057471
2.8400512	0.4413512469
2.840064	0.3427914238
2.8400768	0.2429517821
2.8400896	0.165839758
2.8401024	0.1201481785
3.0399488	0.09649624989
3.0399616	0.1085705764
3.0399744	0.1419162072
3.0399872	0.2038396801
3.04	0.2954566435
3.0400128	0.3982309384
3.0400256	0.4787896096
3.0400384	0.5007782409
3.0400512	0.4549218927
3.040064	0.3617586094
3.0400768	0.2589715172
3.0400896	0.1772466021
3.0401024	0.1271224609
3.2399616	0.1053808068
3.2399744	0.1346418308
3.2399872	0.1897393883
3.24	0.2773231613
3.2400128	0.3781440159
3.2400256	0.4688306934
3.2400384	0.5026972681
3.2400512	0.467650515
3.240064	0.3804699586
3.2400768	0.2769847888
3.2400896	0.1901908795
3.2401024	0.1346177331
3.2401152	0.1052145734
3.4399616	0.1011002166
3.4399744	0.126624234
3.4399872	0.1777459121
3.44	0.2598199941
3.4400128	0.3612856524
3.4400256	0.4539288743
3.4400384	0.5009484663
3.4400512	0.4796141194
3.440064	0.3987830399
3.4400768	0.2959934739
3.4400896	0.2038364469
3.4401024	0.1420949709
3.4401152	0.1089151824
3.6399616	0.09991512091
3.6399744	0.1199316652
3.6399872	0.1672140492
3.64	0.2421208936
3.6400128	0.3428293506
3.6400256	0.4401581357
3.6400384	0.4976864645
3.6400512	0.4888938316
3.640064	0.4165168422
3.6400768	0.313691474
3.6400896	0.2195057337
3.6401024	0.1501256006
3.6401152	0.112473569
3.8399616	0.09780930171
3.8399744	0.1147711316
3.8399872	0.1547895339
3.84	0.2251394513
3.8400128	0.322521433
3.8400256	0.4224727449
3.8400384	0.4917727705
3.8400512	0.4959300219
3.840064	0.4323677609
3.8400768	0.3337039847
3.8400896	0.2350229946
3.8401024	0.1605344182
3.8401152	0.1181292779
4.0399616	0.09585267345
4.0399744	0.1101285764
4.0399872	0.147543178
4.04	0.2105715498
4.0400128	0.3032127869
4.0400256	0.4051536045
4.0400384	0.4815779974
4.0400512	0.4996388939
4.040064	0.4485951214
4.0400768	0.352882352
4.0400896	0.2521234712
4.0401024	0.1742357099
4.0401152	0.1244002923
4.2399744	0.1058756286
4.2399872	0.137002989
4.24	0.1963402648
4.2400128	0.2852128345
4.2400256	0.3853243842
4.2400384	0.472585856
4.2400512	0.5025202068
4.240064	0.46186803
4.2400768	0.3723104004
4.2400896	0.271080806
4.2401024	0.1866831513
4.2401152	0.1324982083
4.240128	0.1053914442
4.4799744	0.102041602
4.4799872	0.1284558495
4.48	0.1799023042
4.4800128	0.2629212345
4.4800256	0.3625566058
4.4800384	0.4562459658
4.4800512	0.5011104043
4.480064	0.4756392619
4.4800768	0.3949118267
4.4800896	0.2902271231
4.4801024	0.2015118195
4.4801152	0.1392956587
4.480128	0.108149387
4.7199744	0.09954644926
4.7199872	0.1199428144
4.72	0.1660275567
4.7200128	0.2413433402
4.7200256	0.3395675231
4.7200384	0.4366255741
4.7200512	0.4971272574
4.720064	0.4878334063
4.7200768	0.4167430639
4.7200896	0.3158340933
4.7201024	0.2200326644
4.7201152	0.1516661446
4.720128	0.1146253502
4.9599744	0.09787798939
4.9599872	0.113791703
4.96	0.1534765264
4.9600128	0.2226732904
4.9600256	0.3177583705
4.9600384	0.4183115939
4.9600512	0.4881119506
4.960064	0.4975406494
