t	msd
1e-08	8.434460209356887e-20
1.25e-08	1.0323481705943207e-19
2.5e-08	1.864868918673503e-19
3.75e-08	2.5409667611886725e-19
5e-08	3.094627763906163e-19
6.25e-08	3.5524358302619317e-19
7.5e-08	3.9351684923756e-19
8.75e-08	4.259055713817159e-19
1e-07	4.536769809255343e-19
1.125e-07	4.778202663985099e-19
1.25e-07	4.991074287951031e-19
1.375e-07	5.1814093945303655e-19
1.5e-07	5.353909796492546e-19
1.6249999999999998e-07	5.512245418478669e-19
1.7499999999999997e-07	5.659281329849042e-19
1.8749999999999995e-07	5.797255046854575e-19
1.9999999999999994e-07	5.927914863286592e-19
2.1249999999999992e-07	6.052627453709463e-19
2.3749999999999992e-07	6.2882565767887335e-19
2.624999999999999e-07	6.510209727495857e-19
2.874999999999999e-07	6.722227506593367e-19
3.1249999999999987e-07	6.926634940640201e-19
3.3749999999999984e-07	7.124894949984758e-19
3.624999999999998e-07	7.31794436989141e-19
3.874999999999998e-07	7.5063983004152e-19
4.1249999999999976e-07	7.690674292833841e-19
4.6249999999999975e-07	8.047797856401259e-19
5.124999999999998e-07	8.390923098155967e-19
5.624999999999997e-07	8.721109798387356e-19
6.124999999999996e-07	9.039176852693563e-19
6.624999999999996e-07	9.34582053117917e-19
7.124999999999995e-07	9.641662761326549e-19
7.624999999999995e-07	9.92727182292926e-19
8.124999999999994e-07	1.0203173425854982e-18
9.124999999999994e-07	1.0727780439665826e-18
1.0124999999999994e-06	1.1219038815194576e-18
1.1124999999999995e-06	1.1680090092100964e-18
1.2124999999999994e-06	1.2113732330479018e-18
1.3124999999999993e-06	1.2522471475835024e-18
1.4124999999999992e-06	1.2908560048429722e-18
1.512499999999999e-06	1.3274028782795013e-18
1.612499999999999e-06	1.3620712578264776e-18
1.812499999999999e-06	1.4264206965518519e-18
2.012499999999999e-06	1.4850532509190002e-18
2.2124999999999987e-06	1.538913295081739e-18
2.4124999999999985e-06	1.5887781715870244e-18
2.6124999999999983e-06	1.6352884427338316e-18
2.812499999999998e-06	1.6789722700792945e-18
3.012499999999998e-06	1.720265489886144e-18
3.2124999999999976e-06	1.759528066186525e-18
3.6124999999999976e-06	1.8331000590671423e-18
4.012499999999998e-06	1.9015057910756366e-18
4.412499999999997e-06	1.96599662082693e-18
4.812499999999997e-06	2.0274404637097382e-18
5.212499999999996e-06	2.086445267126682e-18
5.612499999999996e-06	2.1434421145104127e-18
6.012499999999995e-06	2.1987414802013565e-18
6.412499999999995e-06	2.25257111234026e-18
7.212499999999995e-06	2.356464509035143e-18
8.012499999999995e-06	2.4560789632478123e-18
8.812499999999994e-06	2.5520325594100422e-18
9.612499999999993e-06	2.644764213306522e-18
1.0412499999999992e-05	2.734609663682868e-18
1.1212499999999991e-05	2.821839435735336e-18
1.201249999999999e-05	2.906678679289731e-18
1.281249999999999e-05	2.989318598007759e-18
1.441249999999999e-05	3.1486373830220174e-18
1.601249999999999e-05	3.300873655334188e-18
1.7612499999999988e-05	3.446859208098914e-18
1.9212499999999986e-05	3.587249671754448e-18
2.0812499999999984e-05	3.722572433775907e-18
2.2412499999999982e-05	3.853260234493021e-18
2.401249999999998e-05	3.979675229533074e-18
2.561249999999998e-05	4.102125812365873e-18
2.881249999999998e-05	4.336170434375565e-18
3.201249999999998e-05	4.557180682949034e-18
3.521249999999998e-05	4.766595865311992e-18
3.841249999999998e-05	4.9656126239352706e-18
4.1612499999999975e-05	5.155246789580502e-18
4.481249999999997e-05	5.336371722738309e-18
4.801249999999997e-05	5.509744633626421e-18
5.1212499999999964e-05	5.676025754979602e-18
5.7612499999999964e-05	5.9895547983412825e-18
6.401249999999996e-05	6.2807991239232245e-18
7.041249999999996e-05	6.5527579022553036e-18
7.681249999999995e-05	6.807802749674055e-18
8.321249999999994e-05	7.047834449065705e-18
8.961249999999994e-05	7.274398556358006e-18
9.601249999999993e-05	7.48877084801906e-18
0.00010241249999999992	7.692021220997508e-18
0.00011521249999999992	8.068674725134134e-18
0.00012801249999999992	8.410305842534232e-18
0.00014081249999999993	8.721566728886057e-18
0.00015361249999999992	9.006245837416823e-18
0.0001664124999999999	9.2675168327391e-18
0.0001792124999999999	9.508089306837638e-18
