sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.917686062E+1,5.863149515E+1,6.338700715E+1,5.389018123E+1,

Count Trace ChA [kHz],Count Trace ChB [kHz]
4.184722900E+1,3.885269165E+1
5.220413208E+1,4.819869995E+1
7.070541382E+1,6.729125977E+1
7.951736450E+1,7.362365723E+1
9.130477905E+1,8.310317993E+1
8.794784546E+1,7.946014404E+1
8.186340332E+1,7.799148560E+1
8.567810059E+1,7.890701294E+1
7.043838501E+1,6.395339966E+1
5.355834961E+1,4.558563232E+1
3.906250000E+1,3.692626953E+1
2.706527710E+1,2.616882324E+1
2.332687378E+1,1.960754395E+1
1.604080200E+1,1.482009888E+1
1.285552979E+1,1.253128052E+1
1.194000244E+1,1.033782959E+1
1.287460327E+1,1.075744629E+1
1.741409302E+1,1.573562622E+1
3.046035767E+1,2.649307251E+1
3.610610962E+1,3.345489502E+1
6.780624390E+1,6.093978882E+1
6.263732910E+1,5.697250366E+1
5.401611328E+1,4.695892334E+1
5.064010620E+1,4.533767700E+1
4.856109619E+1,4.314422607E+1
4.358291626E+1,3.915786743E+1
4.762649536E+1,4.312515259E+1
4.409790039E+1,3.999710083E+1
3.854751587E+1,3.517150879E+1
3.458023071E+1,3.570556641E+1
4.169464111E+1,3.829956055E+1
3.782272339E+1,3.444671631E+1
3.997802734E+1,3.629684448E+1
4.526138306E+1,4.268646240E+1
3.734588623E+1,3.427505493E+1
5.245208740E+1,5.052566528E+1
5.323410034E+1,5.060195923E+1
6.690979004E+1,5.847930908E+1
6.114959717E+1,5.840301514E+1
5.676269531E+1,5.155563354E+1
5.010604858E+1,4.531860352E+1
4.255294800E+1,3.721237183E+1
3.330230713E+1,3.076553345E+1
2.376556396E+1,2.191543579E+1
1.548767090E+1,1.384735107E+1
1.361846924E+1,1.235961914E+1
1.724243164E+1,1.459121704E+1
3.837585449E+1,3.620147705E+1
3.370285034E+1,3.162384033E+1
5.741119385E+1,5.157470703E+1
5.165100098E+1,4.741668701E+1
6.998062134E+1,6.374359131E+1
7.438659668E+1,7.137298584E+1
8.501052856E+1,7.791519165E+1
1.003837585E+2,9.115219116E+1
