Lag Time [s]	Correlation Function
1.25e-08	0.9602071079
2.5e-08	0.9355075615
3.75e-08	0.9418953752
5e-08	0.9485265342
6.25e-08	0.9173783377
7.5e-08	0.9307014921
8.75e-08	0.9369676332
1e-07	0.9424429021
1.125e-07	0.9392794134
1.25e-07	0.9438421375
1.375e-07	0.9434162833
1.5e-07	0.9406178125
1.625e-07	0.9532717673
1.75e-07	0.9323440728
1.875e-07	0.9541843121
2e-07	0.941469521
2.125e-07	0.940921994
2.375e-07	0.9402223763
2.625e-07	0.9358725793
2.875e-07	0.9360246701
3.125e-07	0.9432946105
3.375e-07	0.9271729854
3.625e-07	0.9305798194
3.875e-07	0.9285418026
4.125e-07	0.9420322567
4.625e-07	0.9350360798
5.125e-07	0.9252718502
5.625e-07	0.9371805601
6.125e-07	0.9315836185
6.625e-07	0.9303364739
7.125e-07	0.9332261992
7.625e-07	0.922579843
8.125e-07	0.9284733613
9.125e-07	0.9369220054
1.0125e-06	0.9356444426
1.1125e-06	0.9328231582
1.2125e-06	0.9315912227
1.3125e-06	0.9343744844
1.4125e-06	0.9171806191
1.5125e-06	0.930511378
1.6125e-06	0.9277014998
1.8125e-06	0.9247243223
2.0125e-06	0.9277205112
2.2125e-06	0.9243973271
2.4125e-06	0.9209904931
2.6125e-06	0.9179486771
2.8125e-06	0.9202376436
3.0125e-06	0.9253098719
3.2125e-06	0.9217642538
3.6125e-06	0.9213840268
4.0125e-06	0.9188555172
4.4125e-06	0.9204220525
4.8125e-06	0.9176406919
5.2125e-06	0.9163783382
5.6125e-06	0.9129467895
6.0125e-06	0.9149581904
6.4125e-06	0.9142253003
7.2125e-06	0.9118954593
8.0125e-06	0.9104591518
8.8125e-06	0.9096274052
9.6125e-06	0.9091236044
1.04125e-05	0.9077956616
1.12125e-05	0.9060456668
1.20125e-05	0.9054762768
1.28125e-05	0.9021530877
1.44125e-05	0.9009477681
1.60125e-05	0.9007229589
1.76125e-05	0.894962995
1.92125e-05	0.8952785834
2.08125e-05	0.8936459837
2.24125e-05	0.8908983683
2.40125e-05	0.8886683369
2.56125e-05	0.8858070711
2.88125e-05	0.8847949543
3.20125e-05	0.8818662555
3.52125e-05	0.8784288136
3.84125e-05	0.877023637
4.16125e-05	0.8738582469
4.48125e-05	0.8710077323
4.80125e-05	0.8688972345
5.12125e-05	0.8659933705
5.76125e-05	0.8620991581
6.40125e-05	0.8584123813
7.04125e-05	0.8548197107
7.68125e-05	0.851356889
8.32125e-05	0.8487142402
8.96125e-05	0.8450828822
9.60125e-05	0.8420914233
0.0001024125	0.8397214173
0.0001152125	0.8355478657
0.0001280125	0.8305607096
0.0001408125	0.8268543735
0.0001536125	0.8225966484
0.0001664125	0.8197672226
0.0001792125	0.817081678
0.0001920125	0.8138086115
0.0002048125	0.8114877966
0.0002304125	0.8070544221
0.0002560125	0.802397664
0.0002816125	0.7990002423
0.0003072125	0.7958515727
0.0003328125	0.7933285442
0.0003584125	0.7901808733
0.0003840125	0.7878139533
0.0004096125	0.7863450679
0.0004608125	0.7825727708
0.0005120125	0.7791679539
0.0005632125	0.7763281392
0.0006144125	0.7739397185
0.0006656125	0.7716554114
0.0007168125	0.7694787858
0.0007680125	0.7675742012
0.0008192125	0.765790268
0.0009216125	0.7624429841
0.0010240125	0.7598369415
0.0011264125	0.7572747733
0.0012288125	0.7551888892
0.0013312125	0.7535938824
0.0014336125	0.7520964283
0.0015360125	0.7507384186
0.0016384125	0.7493150111
0.0018432125	0.7466852551
0.0020480125	0.7449112294
0.0022528125	0.7430544402
