ome	zstar	zpr	zppr	zstarFi	zprFi	zpprFi	zprS	zpprS	zC
100000000.0	55091.16074439292	7207.771461336081	54617.61641380635	58561.52836984114	24276.011410886127	53292.850130108774	24673.848201131063	53160.03009166212	(24673.848201131063+53160.03009166212j)
80000000.0	45406.64601668204	7509.097184431103	44781.43546112647	48067.813638766514	21297.385294961146	43092.18128163346	20716.928159285846	43281.54017174091	(20716.928159285846+43281.54017174091j)
40000000.0	25965.01177246843	8000.569117548996	24701.67464241535	26724.204377121438	12603.796427834199	23565.38595474028	12491.563454359737	23618.766688436725	(12491.563454359737+23618.766688436725j)
26666666.666666668	19477.459531237386	8307.677265674238	17616.864881141293	19690.89254728463	9844.33512655541	17053.454641942102	9934.628849310697	17032.044884680763	(9934.628849310697+17032.044884680763j)
20000000.0	16219.047554428345	8509.787389437324	13807.28149055351	16225.141099313198	8563.309821725656	13781.325356792038	8623.661349298221	13762.82648686328	(8623.661349298221+13762.82648686328j)
16000000.0	14243.828352274732	8603.2250809639	11352.143600894906	14177.920494083444	7867.450060895881	11794.772531755783	7934.283773433046	11758.607576808186	(7934.283773433046+11758.607576808186j)
13333333.333333334	12908.816849315908	8611.240446557804	9616.86489562733	12832.77709989447	7457.471073188695	10443.48089901685	7529.581800127401	10379.331867323303	(7529.581800127401+10379.331867323303j)
11428571.42857143	11940.697176246387	8556.527372446248	8328.630642512402	11882.801260857883	7204.095205945116	9449.972384548237	7257.274733862563	9384.30913344514	(7257.274733862563+9384.30913344514j)
10000000.0	11203.667370436342	8458.732814595123	7346.563939602761	11174.843189002831	7042.095894804372	8676.75087271626	7086.291729333681	8595.342241396844	(7086.291729333681+8595.342241396844j)
8888888.88888889	10622.326393873587	8333.155838739194	6587.285615886891	10624.218205817993	6934.987000484386	8048.6003620472475	6961.785548035059	7962.399738785986	(6961.785548035059+7962.399738785986j)
8000000.0	10151.126223195917	8190.979035988007	5996.100902358196	10180.556124927927	6860.88590179304	7521.433882936487	6868.0913128344655	7441.119021251225	(6868.0913128344655+7441.119021251225j)
7272727.2727272725	9760.677835721099	8039.957619722941	5534.42980674578	9812.246480995589	6806.060846770824	7068.077302482162	6790.715992446989	6991.335616582458	(6790.715992446989+6991.335616582458j)
6666666.666666667	9431.01703241457	7885.236951553071	5173.695051271938	9498.635148246058	6761.67342833996	6671.120005514572	6725.00875641561	6608.741259065464	(6725.00875641561+6608.741259065464j)
6153846.153846155	9148.03552951416	7730.087276205615	4892.065489289515	9225.801410219341	6721.992346236169	6319.037154341438	6659.191761564598	6271.803428892692	(6659.191761564598+6271.803428892692j)
5714285.7142857155	8901.45902814982	7576.522003999952	4672.503306872504	8984.129678733105	6683.3408330481225	6003.960475686414	6592.688681929656	5975.850932818757	(6592.688681929656+5975.850932818757j)
5333333.333333335	8683.650048750062	7425.679069399883	4501.673969473293	8766.842109902009	6643.434936362099	5720.34027189595	6532.277890222467	5715.74509556999	(6532.277890222467+5715.74509556999j)
5000000.000000002	8488.803160482666	7278.335945988921	4368.707469577938	8569.075878579395	6600.945627004977	5464.117334224725	6464.093574746656	5483.191001013267	(6464.093574746656+5483.191001013267j)
4705882.352941178	8312.592603003983	7134.399590227446	4266.091685662532	8387.284506120139	6555.198511241052	5232.199715686132	6401.9385560362225	5276.276986997635	(6401.9385560362225+5276.276986997635j)
4210526.315789475	8002.933164324911	6858.585748052724	4123.922982944709	8067.493805083203	6386.158900158394	4929.648141296049	6263.696137785804	4922.9106488238085	(6263.696137785804+4922.9106488238085j)
3809523.8095238106	7735.239222097478	6599.957973146142	4034.1641731317623	7786.905221361575	6233.288379893888	4667.1199791250265	6127.037768375187	4635.072849324099	(6127.037768375187+4635.072849324099j)
