ome	zstar	zpr	zppr	zC
100000000.0	60893.92741598165	7688.10293810486	60406.65087021416	(7688.10293810486+60406.65087021416j)
80000000.0	50135.740316533636	7990.319856934504	49494.92141291644	(7990.319856934504+49494.92141291644j)
40000000.0	28531.73992605421	8453.877823841452	27250.543718384	(8453.877823841452+27250.543718384j)
26666666.666666668	21310.324395447486	8725.691941847961	19442.02216785008	(8725.691941847961+19442.02216785008j)
20000000.0	17676.56047529067	8892.957295630797	15276.6521455028	(8892.957295630797+15276.6521455028j)
16000000.0	15469.801095725517	8952.545506495726	12616.12757130466	(8952.545506495726+12616.12757130466j)
13333333.333333334	13975.394268100199	8928.607867656281	10751.353705207279	(8928.607867656281+10751.353705207279j)
11428571.42857143	12889.095180315497	8843.894400990146	9376.262922474356	(8843.894400990146+9376.262922474356j)
10000000.0	12059.511923313798	8717.742617206304	8332.634126654824	(8717.742617206304+8332.634126654824j)
8888888.88888889	11402.53430706404	8565.041035375481	7527.14160130567	(8565.041035375481+7527.14160130567j)
8000000.0	10867.400064957796	8396.636635343666	6899.049020397615	(8396.636635343666+6899.049020397615j)
7272727.2727272725	10421.44849818211	8220.094861400612	6405.983864312913	(8220.094861400612+6405.983864312913j)
6666666.666666667	10042.595947828535	8040.520638979356	6016.95614289228	(8040.520638979356+6016.95614289228j)
6153846.153846155	9715.329840363102	7861.2630542829165	5708.605530111199	(7861.2630542829165+5708.605530111199j)
5714285.7142857155	9428.430710574856	7684.486986892039	5462.963061599264	(7684.486986892039+5462.963061599264j)
5333333.333333335	9173.609245957261	7511.522280043417	5266.13137264196	(7511.522280043417+5266.13137264196j)
5000000.000000002	8944.616888137161	7343.338829607268	5107.009507444713	(7343.338829607268+5107.009507444713j)
4705882.352941178	8736.764729862105	7180.002574410188	4977.812870772216	(7180.002574410188+4977.812870772216j)
4210526.315789475	8370.521204306902	6870.244575908454	4781.774220825564	(6870.244575908454+4781.774220825564j)
3809523.8095238106	8054.150321101061	6584.486428346295	4638.305279928843	(6584.486428346295+4638.305279928843j)
3478260.8695652187	7775.001912171055	6321.5323830483485	4526.464742415943	(6321.5323830483485+4526.464742415943j)
3200000.0000000014	7524.798705032568	6080.909508330364	4432.283283225159	(6080.909508330364+4432.283283225159j)
2962962.9629629645	7298.01688221378	5861.385126994754	4348.012742175677	(5861.385126994754+4348.012742175677j)
2758620.689655174	7090.777612100359	5661.517565396676	4269.2324838275745	(5661.517565396676+4269.2324838275745j)
2580645.161290324	6900.2412009120135	5479.645142500611	4193.663999777895	(5479.645142500611+4193.663999777895j)
2424242.4242424257	6724.217460373106	5314.263519608919	4119.915496529071	(5314.263519608919+4119.915496529071j)
2162162.1621621633	6409.128374199278	5026.228729008452	3976.6759084260766	(5026.228729008452+3976.6759084260766j)
1951219.512195123	6134.971697875666	4785.274137542139	3839.144326839741	(4785.274137542139+3839.144326839741j)
1777777.7777777787	5894.093254669138	4582.064239998007	3707.428029681456	(4582.064239998007+3707.428029681456j)
1632653.0612244906	5680.710792463569	4408.891822766763	3582.198766505349	(4408.891822766763+3582.198766505349j)
1509433.9622641518	5490.312548117367	4259.812186538869	3463.745373353815	(4259.812186538869+3463.745373353815j)
1403508.7719298254	5319.317396454648	4130.217461348379	3352.08014316454	(4130.217461348379+3352.08014316454j)
1311475.4098360664	5164.848059333508	4016.4827652695185	3247.0789445737264	(4016.4827652695185+3247.0789445737264j)
1230769.2307692317	5024.554868916018	3915.9422794624165	3148.2610588492116	(3915.9422794624165+3148.2610588492116j)
1095890.4109589048	4779.164928180867	3745.6574695260083	2968.243172608681	(3745.6574695260083+2968.243172608681j)
987654.3209876548	4571.381162298685	3606.129267299625	2809.511957359204	(3606.129267299625+2809.511957359204j)
898876.4044943824	4392.868895404684	3489.262708066519	2668.771793599122	(3489.262708066519+2668.771793599122j)
824742.2680412375	4237.611054855018	3389.29105916166	2543.629998352019	(3389.29105916166+2543.629998352019j)
761904.7619047624	4101.139376692704	3302.2645307399607	2431.952539848631	(3302.2645307399607+2431.952539848631j)
707964.6017699119	3980.0704843882177	3225.350180912502	2331.968539922002	(3225.350180912502+2331.968539922002j)
661157.0247933888	3871.7934440455115	3156.4876601279443	2242.179770851084	(3156.4876601279443+2242.179770851084j)
620155.0387596904	3774.263476535634	3094.118716262241	2161.3639582417745	(3094.118716262241+2161.3639582417745j)
551724.1379310348	3605.24452954251	2984.4740595980384	2022.54856687858	(2984.4740595980384+2022.54856687858j)
496894.40993788844	3463.3468169401826	2889.9084590850553	1908.71691785826	(2889.9084590850553+1908.71691785826j)
451977.4011299438	3342.036711930822	2806.2942606110255	1814.9165013176219	(2806.2942606110255+1814.9165013176219j)
414507.77202072565	3236.723841126834	2730.933745910116	1737.3491586805992	(2730.933745910116+1737.3491586805992j)
382775.11961722514	3144.0823173873114	2661.993050081858	1673.0351519987412	(2661.993050081858+1673.0351519987412j)
355555.5555555558	3061.642068643303	2598.1774793770305	1619.6067245305153	(2598.1774793770305+1619.6067245305153j)
331950.20746887993	2987.521963092922	2538.5896012174167	1575.071527440384	(2538.5896012174167+1575.071527440384j)
311284.0466926072	2920.293278332676	2482.447339513476	1538.0403239243997	(2482.447339513476+1538.0403239243997j)
276816.60899653996	2802.1534397404484	2378.8636555217804	1480.9022953209233	(2378.8636555217804+1480.9022953209233j)
249221.1838006232	2700.594031288639	2284.9286123593456	1439.551790750655	(2284.9286123593456+1439.551790750655j)
226628.8951841361	2611.3893421386842	2198.7367857651866	1408.868639426148	(2198.7367857651866+1408.868639426148j)
207792.20779220795	2531.6715865435417	2119.2736174685174	1384.9333400614623	(2119.2736174685174+1384.9333400614623j)
191846.52278177472	2459.479795270777	2045.7954618559982	1365.1966127977996	(2045.7954618559982+1365.1966127977996j)
178173.7193763921	2393.4313259489245	1977.7513061422853	1347.9663508730891	(1977.7513061422853+1347.9663508730891j)
166320.16632016643	2332.5267240688654	1914.6835829046483	1332.1665420850547	(1914.6835829046483+1332.1665420850547j)
155945.41910331397	2276.021875272235	1856.1953019112	1317.1236000772785	(1856.1953019112+1317.1236000772785j)
138648.1802426344	2174.055181157063	1751.5070083671299	1287.920467403441	(1751.5070083671299+1287.920467403441j)
124804.99219968807	2084.229831776711	1660.9800035369333	1259.031143188454	(1660.9800035369333+1259.031143188454j)
113475.17730496461	2004.2994213117709	1582.2723468118963	1230.2968709970264	(1582.2723468118963+1230.2968709970264j)
104031.20936280892	1932.6145447324855	1513.3958941499639	1201.9283864197498	(1513.3958941499639+1201.9283864197498j)
96038.41536614652	1867.9027529134796	1452.688058409764	1174.2053054280696	(1452.688058409764+1174.2053054280696j)
89186.17614269795	1809.1504782113673	1398.7875016441149	1147.353031135855	(1398.7875016441149+1147.353031135855j)
83246.6181061395	1755.5347773657884	1350.5779326540398	1121.535377225653	(1350.5779326540398+1121.535377225653j)
78048.78048780494	1706.3762427280994	1307.1897302264692	1096.8021202283103	(1307.1897302264692+1096.8021202283103j)
69384.21509106683	1619.270064292718	1232.018122461708	1050.793455937213	(1232.018122461708+1050.793455937213j)
62451.20999219364	1544.3149569852744	1168.8407259668363	1009.3166221210018	(1168.8407259668363+1009.3166221210018j)
56777.85663591204	1478.9718179881231	1114.7858607828675	971.9105529840156	(1114.7858607828675+971.9105529840156j)
52049.446974625935	1421.3714594573232	1067.8014447721691	938.1347985776399	(1067.8014447721691+938.1347985776399j)
48048.048048048084	1370.1070551260113	1026.4450324013812	907.5262739803177	(1026.4450324013812+907.5262739803177j)
44617.958728388214	1324.1008944960945	989.6667441462598	879.6606813631602	(989.6667441462598+879.6606813631602j)
41644.97657470071	1282.513886525779	956.6811927628127	854.1679955052057	(956.6811927628127+854.1679955052057j)
39043.435822352396	1244.68247852002	926.9031299878948	830.7135847892363	(926.9031299878948+830.7135847892363j)
34707.158351410006	1178.2621174892888	875.1843808738743	788.8941101217298	(875.1843808738743+788.8941101217298j)
31237.797735259686	1121.6623214568367	831.7722837739433	752.5165987015959	(831.7722837739433+752.5165987015959j)
28399.006034788796	1072.7065499637893	794.8652501458229	720.3392092936728	(794.8652501458229+720.3392092936728j)
26033.19232020828	1029.8472014895	763.158942141126	691.5010393671095	(763.158942141126+691.5010393671095j)
24031.24061279665	991.9475896965107	735.6860441300876	665.3766340779785	(735.6860441300876+665.3766340779785j)
22315.202231520238	958.1497687351059	711.7040557718414	641.5047282172194	(711.7040557718414+641.5047282172194j)
20827.90939859413	927.7912559159379	690.6201838190012	619.5485261510048	(690.6201838190012+619.5485261510048j)
19526.482792287054	900.3494926216013	671.9945340566309	599.2099423924692	(671.9945340566309+599.2099423924692j)
